Distributor Code,Distributor Name,Depot Name,Original Delivery,Original Delivery Day,Original Modified,Original Modified Day,Reason,Raised By
10020,DELHIVERY PRIVATE LIMITED,D673 - Bangalore,11/09/2023,Monday,NA,,Normal PDP,
10022,B.M.TRADERS,D117 - Zirakpur,11/09/2023,Monday,NA,,Normal PDP,
10025,SRI VENKATESWARA AGENCIES,D676 - Coimbatore,11/09/2023,Monday,NA,,Normal PDP,
10053,M/S Narayanji Devkaran,D248 - Nagpur II,11/09/2023,Monday,NA,,Normal PDP,
10054,MOOL CHAN MITTHA LAL,D314 - Jaipur,11/09/2023,Monday,NA,,Normal PDP,
10071,ATCHAYA MARKETING COMPANY -MT,D676 - Coimbatore,11/09/2023,Monday,NA,,Normal PDP,
10091,VEL R S PETROPRODUCTS,D674 - Chennai,11/09/2023,Monday,NA,,Normal PDP,
10130,R. N. DISTRIBUTION HUB,D461 - Pune,11/09/2023,Monday,NA,,Normal PDP,
10180,ANNAI AGENCIES,D674 - Chennai,11/09/2023,Monday,NA,,Normal PDP,
10437,SRI VIJAY AGENCIES,D572 - Vijaywada,11/09/2023,Monday,NA,,Normal PDP,
1050,TALWAR BROTHERS,D464 - Indore,11/09/2023,Monday,NA,,Normal PDP,
10507,NARENDRA TRADERS,D461 - Pune,11/09/2023,Monday,NA,,Normal PDP,
10598,VARADARAJAM AGENCIES,D572 - Vijaywada,11/09/2023,Monday,NA,,Normal PDP,
106,K.C.D,D231 - Kolkata 1,11/09/2023,Monday,NA,,Normal PDP,
10622,ANVI MARKETING,D673 - Bangalore,11/09/2023,Monday,NA,,Normal PDP,
10634,GLAIM ASSOCIATES LLP,D674 - Chennai,11/09/2023,Monday,NA,,Normal PDP,
10692,VARA LAKSHMI AGENCIES,D572 - Vijaywada,11/09/2023,Monday,NA,,Normal PDP,
10729,RATAN SALES ENTERPRISES ,D248 - Nagpur II,11/09/2023,Monday,NA,,Normal PDP,
10733,GIRIRAJ TRADE LINK,D248 - Nagpur II,11/09/2023,Monday,NA,,Normal PDP,
10740,GOLDEN ENTERPRISE,D231 - Kolkata 1,11/09/2023,Monday,NA,,Normal PDP,
10755,PRIYAVARDHINI AGENCIES,D530 - Hyderabad,11/09/2023,Monday,NA,,Normal PDP,
10768,Jindal Agencies,D314 - Jaipur,11/09/2023,Monday,NA,,Normal PDP,
1080,PRAMOD TRADING COMPANY,D113 - Kanpur,11/09/2023,Monday,NA,,Normal PDP,
10810,M/S VAISHNO TRADE AGENCY,D236 - Guwahati,11/09/2023,Monday,NA,,Normal PDP,
10815,DEV ENTERPRISES,D113 - Kanpur,11/09/2023,Monday,NA,,Normal PDP,
10819,M/S SUPRIYA AGENCIES,D530 - Hyderabad,11/09/2023,Monday,NA,,Normal PDP,
10832,Hindustan Agencies,D535 - Cuttack,11/09/2023,Monday,NA,,Normal PDP,
10846,ADITHYA AGENCIES,D572 - Vijaywada,11/09/2023,Monday,NA,,Normal PDP,
10910,K.N.B. ENTERPRISES,D234 - Ranchi,11/09/2023,Monday,NA,,Normal PDP,
10911, CONNECT FAST,D248 - Nagpur II,11/09/2023,Monday,NA,,Normal PDP,
10922,SHREE GANESH ENTERPRISES,D233 - Patna,11/09/2023,Monday,NA,,Normal PDP,
10923,BHUMI MARKETING,D3A4 - Solapur,11/09/2023,Monday,NA,,Normal PDP,
10924,OS CREATIVES,D356 - Bhiwandi 2,11/09/2023,Monday,NA,,Normal PDP,
1105,KEDARNATH RAMJI PRASAD,D113 - Kanpur,11/09/2023,Monday,NA,,Normal PDP,
11238,SRI SASTHA AGENCIES,D674 - Chennai,11/09/2023,Monday,NA,,Normal PDP,
11412,Maa Samleswari Agencies,D535 - Cuttack,11/09/2023,Monday,NA,,Normal PDP,
11484,PANDA ENTERPRISE,D231 - Kolkata 1,11/09/2023,Monday,NA,,Normal PDP,
11490,UNIQUE SALES ORGANISATION,D231 - Kolkata 1,11/09/2023,Monday,NA,,Normal PDP,
11562,AHMAD GENERAL STORES,D356 - Bhiwandi 2,11/09/2023,Monday,NA,,Normal PDP,
11567,K.D.ENTERPRISE,D231 - Kolkata 1,11/09/2023,Monday,NA,,Normal PDP,
11573,PC ENTERPRISES,D112 - Ghaziabad,11/09/2023,Monday,NA,,Normal PDP,
11574,LYNKS LOGISTICS LIMITED,D674 - Chennai,11/09/2023,Monday,NA,,Normal PDP,
11643,AVONE ZARDA STORES,D461 - Pune,11/09/2023,Monday,NA,,Normal PDP,
11681,ROCKET SALES GROUP,D231 - Kolkata 1,11/09/2023,Monday,NA,,Normal PDP,
11716,SHUBH SALES,D115 - Rothak,11/09/2023,Monday,NA,,Normal PDP,
11849,Sham Enterprise,D354 - Ahmedabad,11/09/2023,Monday,NA,,Normal PDP,
