PlantCode,SkuCode,ParentSkuCode,ProposedQty,UnitPrice,UnitPerCase,AllocationCode,Allocatedqty,InQTY,SkuFlag,CustomerPDP,Createdby,CustomerCode,Ponumber,PoDate,AllocationCode1,AllocatedQty_TO,Sales Unit,DeliveryDate,ReasonCode,StorageLocation,SUB,CustomerType(SD/DD),ASMCode,CustomerType,ShrinkSize,CustomerPDP1,TrapZone,MOQ,Brand,Batchno,RemLife,ChildSku_Code,ChildSku_AllocatedQty,
D676,717051,718288,4.00,4048.92,4,717051,4.00,CS,Non D Class,2,145,8792,VMI8792250423,20230923,717051,4.00,CS,20230923,FS,MA01,CO,DD,MCS2,0,1,2,,,SAFF GOLD,,,717052,16,
D676,721579,718297,2.00,6500.08,384,721579,2.00,CS,Non D Class,2,145,8792,VMI8792250423,20230923,721579,2.00,CS,20230923,FS,MA01,,DD,MCS2,0,1,2,,,PCNO(R),,,,,
D676,721004,718299,5.00,6176.88,192,721004,5.00,CS,Non D Class,2,145,8792,VMI8792250423,20230923,721004,5.00,CS,20230923,FS,MA01,LCO,DD,MCS2,0,1,2,,,PCNO(R),,,,,
D676,704395,718312,3.00,6767.6,20,704395,3.00,CS,Non D Class,2,145,8792,VMI8792250423,20230923,704395,3.00,CS,20230923,FS,MA01,,DD,MCS2,0,1,2,,,PCNO(R),,,,,
D676,704726,718447,1.00,4068.9,30,704726,1.00,CS,Non D Class,2,145,8792,VMI8792250423,20230923,704726,1.00,CS,20230923,MOQ not met,MA01,,DD,MCS2,0,1,2,,,PADV-HOT,,,,,
D676,716786,718449,1.00,2797.6,30,716786,1.00,CS,Non D Class,2,145,8792,VMI8792250423,20230923,716786,1.00,CS,20230923,MOQ not met,MA01,,DD,MCS2,0,1,2,,,PADV-HOT,,,,,
D676,722307,718525,1.00,5519.84,72,722307,1.00,CS,Non D Class,2,145,8792,VMI8792250423,20230923,722307,1.00,CS,20230923,MOQ not met,MA01,,DD,MCS2,0,1,2,,,SW HRGEL,,,,,
D676,721473,718646,2.00,13638.16,108,721473,2.00,CS,Non D Class,2,145,8792,VMI8792250423,20230923,721473,2.00,CS,20230923,MOQ not met,MA01,,DD,MCS2,0,1,2,,,LIVON S-R,,,,,
D676,721535,718651,5.00,4136.6,60,721535,5.00,CS,Non D Class,2,145,8792,VMI8792250423,20230923,721535,5.00,CS,20230923,MOQ not met,MA01,,DD,MCS2,0,1,2,,,ADV-AHO-R,,,,,
D676,721536,718708,4.00,3619.9,30,721536,4.00,CS,Non D Class,2,145,8792,VMI8792250423,20230923,721536,4.00,CS,20230923,MOQ not met,MA01,,DD,MCS2,0,1,2,,,ADV-AHO-R,,,,,
D676,720522,719272,5.00,2493.24,144,720522,5.00,CS,Non D Class,2,145,8792,VMI8792250423,20230923,720522,5.00,CS,20230923,FS,MA01,,DD,MCS2,0,1,2,,,SAFF_ODLS,,,,,
D676,720574,719333,5.00,1828.72,24,720574,5.00,CS,Non D Class,2,145,8792,VMI8792250423,20230923,720574,5.00,CS,20230923,FS,MA01,,DD,MCS2,0,1,2,,,SAFF_ODLS,,,,,
D676,721360,721427,5.00,2304.24,16,721360,5.00,CS,Non D Class,2,145,8792,VMI8792250423,20230923,721360,5.00,CS,20230923,FS,MA01,CO,DD,MCS2,0,1,2,,,SAFF OATS,,,,,
D676,807225,807302,2.00,1673.75,25,807225,2.00,CS,Non D Class,2,145,8792,VMI8792250423,20230923,807225,2.00,CS,20230923,FS,MA01,,DD,MCS2,0,1,2,,,SF_SOYACN,,,,,
D676,808134,808270,3.00,3571.88,24,808134,3.00,CS,Non D Class,2,145,8792,VMI8792250423,20230923,808134,3.00,CS,20230923,FS,MA01,,DD,MCS2,0,1,2,,,SAF_PNBTR,,,,,
D676,808131,808271,3.00,3571.88,24,808131,3.00,CS,Non D Class,2,145,8792,VMI8792250423,20230923,808131,3.00,CS,20230923,FS,MA01,,DD,MCS2,0,1,2,,,SAF_PNBTR,,,,,
D676,808127,808275,3.00,1989.6,12,808127,3.00,CS,Non D Class,2,145,8792,VMI8792250423,20230923,808127,3.00,CS,20230923,FS,MA01,,DD,MCS2,0,1,2,,,SAF_MAYO,,,,,
D676,808119,808276,5.00,2755.24,72,808119,5.00,CS,Non D Class,2,145,8792,VMI8792250423,20230923,808119,5.00,CS,20230923,FS,MA01,,DD,MCS2,0,1,2,,,SAF_MAYO,,,,,
D676,808846,808522,5.00,2483,60,808846,5.00,CS,Non D Class,2,145,8792,VMI8792250423,20230923,808846,5.00,CS,20230923,FS,MA01,,DD,MCS2,0,1,2,,,SF_SOYACN,,,,,
D676,808733,808713,10.00,1776.76,24,808733,10.00,CS,Non D Class,2,145,8792,VMI8792250423,20230923,808733,10.00,CS,20230923,FS,MA01,,DD,MCS2,0,1,2,,,SAF_HONEY,,,,,
D676,808718,808717,5.00,1973.8,12,808718,5.00,CS,Non D Class,2,145,8792,VMI8792250423,20230923,808718,5.00,CS,20230923,FS,MA01,,DD,MCS2,0,1,2,,,SAF_HONEY,,,,,
