"TransactionID			",Report Type,Status,ProcessLog,RunDate
This Is Start Line,This Is Start Line,This Is Start Line,This Is Start Line,This Is Start Line
General,General,General,Reading Config File....,22-05-2023 12:06
General,General,Failure,The workbook does not exist,22-05-2023 12:06
,,,,
General,General,General,Reading Config File....,22-05-2023 12:07
General,General,Failure,The workbook does not exist,22-05-2023 12:07

General,General,General,Reading Config File....,25-05-2023 05:12:37
General,General,General,Config Data has been added to dictionary,25-05-2023 05:14:23
General,General,General,Total Number of Transaction to be Processed:3,25-05-2023 05:14:48
General,General,General,Reading Config File....,26-05-2023 12:35:20
General,General,General,Config Data has been added to dictionary,26-05-2023 12:35:34
General,General,General,Total Number of Transaction to be Processed:3,26-05-2023 12:35:56
General,General,General,Folder is Created at location for output folder:Data\Output\26-05-2023\NCARD_2,26-05-2023 12:36:07
General,General,General,Output Report File Creation Completed,26-05-2023 12:36:07
General,General,General,Reading Config File....,26-05-2023 12:41:27
General,General,General,Config Data has been added to dictionary,26-05-2023 12:41:28
General,General,General,Total Number of Transaction to be Processed:3,26-05-2023 12:41:28
General,General,General,Folder is Created at location for output folder:Data\Output\26-05-2023\NCARD_3,26-05-2023 12:41:28
General,General,General,Output Report File Creation Completed,26-05-2023 12:41:28
General,General,General,Reading Config File....,26-05-2023 12:47:21
General,General,General,Config Data has been added to dictionary,26-05-2023 12:47:22
General,General,General,Total Number of Transaction to be Processed:3,26-05-2023 12:47:22
General,General,General,Folder is Created at location for output folder:Data\Output\26-05-2023\NCARD_4,26-05-2023 12:47:22
General,General,General,Output Report File Creation Completed,26-05-2023 12:47:22
General,General,General,Reading Config File....,26-05-2023 12:58:56
General,General,General,Config Data has been added to dictionary,26-05-2023 12:59:06
General,General,General,Total Number of Transaction to be Processed:3,26-05-2023 12:59:06
General,General,General,Folder is Created at location for output folder:Data\Output\26-05-2023\NCARD_5,26-05-2023 12:59:06
General,General,General,Output Report File Creation Completed,26-05-2023 12:59:06
General,General,General,Reading Config File....,26-05-2023 01:00:09
General,General,General,Config Data has been added to dictionary,26-05-2023 01:00:10
General,General,General,Total Number of Transaction to be Processed:3,26-05-2023 01:00:10
General,General,General,Folder is Created at location for output folder:Data\Output\26-05-2023\NCARD_6,26-05-2023 01:00:10
General,General,General,Output Report File Creation Completed,26-05-2023 01:00:10
General,General,Failure,Application Access Failure,26-05-2023 01:00:16
General,General,General,RPA {Your Process} Process Interrupted due to :Application Access Failure at:Throw: System.Activities,26-05-2023 01:00:30
General,General,General,Reading Config File....,26-05-2023 01:05:48
General,General,General,Config Data has been added to dictionary,26-05-2023 01:05:49
General,General,General,Total Number of Transaction to be Processed:3,26-05-2023 01:05:49
General,General,General,Folder is Created at location for output folder:Data\Output\26-05-2023\NCARD_7,26-05-2023 01:05:49
General,General,General,Output Report File Creation Completed,26-05-2023 01:05:49
General,General,Failure,Application Access Failure,26-05-2023 01:05:56
General,General,General,RPA {Your Process} Process Interrupted due to :Application Access Failure at:Throw: System.Activities,26-05-2023 01:07:17
General,General,Process,Dear Team,<br><br>Robot has started RPA Piramal Reports Automation.<br><br>Thanks and Regards,<br>
 RPA Team<br>-------------------------------------------------------------------<br>This is auto generated email, please do no reply on this email.,26-05-2023 02:40:36
General,General,Process,Dear Team,<br><br>Robot has started RPA Piramal Reports Automation.<br><br>Thanks and Regards,<br>
 RPA Team<br>-------------------------------------------------------------------<br>This is auto generated email, please do no reply on this email.,26-05-2023 02:44:10
General,General,General,Reading Config File....,26-05-2023 02:44:29
General,General,General,Config Data has been added to dictionary,26-05-2023 02:44:33
General,General,General,Total Number of Transaction to be Processed:3,26-05-2023 02:44:40
General,General,General,Folder is Created at location for output folder:Data\Output\26-05-2023\NCARD_8,26-05-2023 02:44:40
General,General,General,Output Report File Creation Completed,26-05-2023 02:44:40
General,General,Process,Dear Team,<br><br>Robot has started RPA Piramal Reports Automation.<br><br>Thanks and Regards,<br>
 RPA Team<br>-------------------------------------------------------------------<br>This is auto generated email, please do no reply on this email.,26-05-2023 02:46:56
General,General,General,Reading Config File....,26-05-2023 02:46:59
General,General,General,Config Data has been added to dictionary,26-05-2023 02:46:59
General,General,General,Total Number of Transaction to be Processed:3,26-05-2023 02:47:00
General,General,General,Folder is Created at location for output folder:Data\Output\26-05-2023\NCARD_9,26-05-2023 02:47:00
General,General,General,Output Report File Creation Completed,26-05-2023 02:47:00
General,General,Process,Dear Team,<br><br>Robot has started RPA Piramal Reports Automation.<br><br>Thanks and Regards,<br>
 RPA Team<br>-------------------------------------------------------------------<br>This is auto generated email, please do no reply on this email.,26-05-2023 02:50:02
General,General,General,Reading Config File....,26-05-2023 02:50:05
General,General,General,Config Data has been added to dictionary,26-05-2023 02:50:06
General,General,General,Total Number of Transaction to be Processed:3,26-05-2023 02:50:06
General,General,General,Folder is Created at location for output folder:Data\Output\26-05-2023\NCARD_10,26-05-2023 02:50:06
General,General,General,Output Report File Creation Completed,26-05-2023 02:50:06
General,General,Process,Dear Team,<br><br>Robot has started RPA Piramal Reports Automation.<br><br>Thanks and Regards,<br>
 RPA Team<br>-------------------------------------------------------------------<br>This is auto generated email, please do no reply on this email.,26-05-2023 03:02:15
General,General,General,Reading Config File....,26-05-2023 03:02:18
General,General,General,Config Data has been added to dictionary,26-05-2023 03:02:19
General,General,General,Total Number of Transaction to be Processed:3,26-05-2023 03:02:19
General,General,General,Folder is Created at location for output folder:Data\Output\26-05-2023\NCARD_11,26-05-2023 03:02:19
General,General,General,Output Report File Creation Completed,26-05-2023 03:02:19
General,General,General,RPA {Your Process} Process Interrupted due to :Value cannot be null. (Parameter 'address') at:Email Process.xaml - Invoke Workflow File: Send SMTP Mail Message,26-05-2023 03:02:25
General,General,Process,Dear Team,<br><br>Robot has started RPA Piramal Reports Automation.<br><br>Thanks and Regards,<br>
 RPA Team<br>-------------------------------------------------------------------<br>This is auto generated email, please do no reply on this email.,26-05-2023 03:03:37
General,General,General,Reading Config File....,26-05-2023 03:03:40
General,General,General,Config Data has been added to dictionary,26-05-2023 03:03:41
General,General,General,Total Number of Transaction to be Processed:3,26-05-2023 03:03:41
